source,target,weight
ALB,ATL,24349.0
ALB,AVP,13.0
ALB,BDL,155.0
ALB,BNA,151.0
ALB,BOS,439.0
ALB,BUF,162.0
ALB,BWI,40664.0
ALB,CLE,13.0
ALB,CLT,21357.0
ALB,CVG,16.0
ALB,DCA,11451.0
ALB,DTW,16668.0
ALB,EWR,9914.0
ALB,FLL,13638.0
ALB,HPN,51.0
ALB,IAD,6667.0
ALB,IND,34.0
ALB,JFK,188.0
ALB,LAX,38.0
ALB,LGA,436.0
ALB,MDT,14.0
ALB,MIA,1.0
ALB,MYR,1205.0
ALB,OMA,4.0
ALB,ORD,33812.0
ALB,PGD,4945.0
ALB,PHL,13633.0
ALB,PIE,4291.0
ALB,PIT,59.0
ALB,PVD,58.0
ALB,ROA,1.0
ALB,SAV,1114.0
ALB,SFB,3960.0
ALB,SYR,171.0
ALB,AUS,36.0
ALB,HOU,85.0
ALB,IAH,1.0
ALB,OKC,9.0
ALB,SAT,16.0
ALB,BHM,10.0
ALB,BOI,5.0
ALB,BUR,27.0
ALB,CHS,110.0
ALB,CMH,21.0
ALB,DAL,224.0
ALB,DEN,6515.0
ALB,ECP,1.0
ALB,GEG,5.0
ALB,GRR,7.0
ALB,ICT,2.0
ALB,JAX,60.0
ALB,LAS,368.0
ALB,MCI,74.0
ALB,MCO,29681.0
ALB,MDW,17312.0
ALB,MEM,1.0
ALB,MHT,30.0
ALB,MKE,3.0
ALB,MSP,3755.0
ALB,MSY,67.0
ALB,OAK,52.0
ALB,ONT,5.0
ALB,PDX,6.0
ALB,PHX,135.0
ALB,RDU,2549.0
ALB,RNO,9.0
ALB,RSW,2627.0
ALB,SAN,49.0
ALB,SDF,1.0
ALB,SEA,19.0
ALB,SFO,4.0
ALB,SJC,35.0
ALB,SLC,39.0
ALB,SMF,81.0
ALB,STL,121.0
ALB,TPA,8743.0
ALB,TUS,33.0
ALB,MVY,1.0
ALB,PBI,65.0
ALB,ABE,6.0
ALB,ABY,1.0
ALB,FAY,1.0
ALB,GSO,3.0
ALB,GSP,1.0
ALB,ORF,33.0
ALB,ABQ,36.0
ALB,ACK,1.0
ALB,ART,1.0
ALB,BGM,3.0
ALB,BGR,7.0
ALB,BTV,98.0
ALB,CAK,1.0
ALB,ELM,7.0
ALB,HVN,2.0
ALB,ISP,12.0
ALB,ITH,7.0
ALB,MSN,2.0
ALB,OGS,35.0
ALB,PBG,5.0
ALB,PWM,42.0
ALB,RIC,9.0
ALB,ROC,96.0
ALB,SWF,17.0
ALB,SBN,1.0
ALB,CHO,1.0
ALB,GNV,1.0
ALB,LNK,1.0
ALB,ERI,1.0
ATL,AVP,5761.0
ATL,BDL,60639.0
ATL,BNA,109627.0
ATL,BOS,166802.0
ATL,BTR,26708.0
ATL,BUF,38788.0
ATL,BWI,157440.0
ATL,CAE,44230.0
ATL,CLE,85182.0
ATL,CLT,93649.0
ATL,CVG,65273.0
ATL,DCA,156957.0
ATL,DTW,129323.0
ATL,EWR,136360.0
ATL,EYW,34456.0
ATL,FLL,236481.0
ATL,HPN,30920.0
ATL,IAD,71707.0
ATL,ILM,20117.0
ATL,IND,94105.0
ATL,JFK,70882.0
ATL,LAX,196265.0
ATL,LGA,224212.0
ATL,MDT,18177.0
ATL,MIA,155205.0
ATL,MYR,26499.0
ATL,OMA,37052.0
ATL,ORD,152000.0
ATL,PHF,15161.0
ATL,PHL,142442.0
ATL,PIT,83079.0
ATL,PVD,24768.0
ATL,ROA,18215.0
ATL,SAV,72149.0
ATL,SYR,25794.0
ATL,TVC,696.0
ATL,AMA,5.0
ATL,AUS,109083.0
ATL,DFW,168136.0
ATL,HOU,85646.0
ATL,IAH,99673.0
ATL,LBB,32.0
ATL,LIT,46133.0
ATL,MAF,97.0
ATL,OKC,38475.0
ATL,SAT,86706.0
ATL,SHV,18300.0
ATL,BHM,74823.0
ATL,BIL,2.0
ATL,BOI,81.0
ATL,BUR,6836.0
ATL,CHS,81813.0
ATL,CMH,83191.0
ATL,COS,10954.0
ATL,CPR,2.0
ATL,CRP,2.0
ATL,DAL,74490.0
ATL,DEN,164167.0
ATL,DRO,1.0
ATL,DSM,21168.0
ATL,ECP,47782.0
ATL,EGE,3071.0
ATL,ELP,21371.0
ATL,FAR,221.0
ATL,FAT,1.0
ATL,GEG,10.0
ATL,GPT,24814.0
ATL,GRR,39230.0
ATL,HRL,51.0
ATL,ICT,22513.0
ATL,JAC,3078.0
ATL,JAX,138819.0
ATL,LAS,147380.0
ATL,LGB,4.0
ATL,MCI,91774.0
ATL,MCO,266635.0
ATL,MDW,88758.0
ATL,MEM,82122.0
ATL,MHT,6292.0
ATL,MKE,74962.0
ATL,MSP,119027.0
ATL,MSY,133897.0
ATL,MTJ,892.0
ATL,OAK,14182.0
ATL,ONT,11192.0
ATL,PDX,39851.0
ATL,PHX,103792.0
ATL,PNS,68302.0
ATL,PSP,581.0
ATL,RAP,158.0
ATL,RDU,124011.0
ATL,RNO,1161.0
ATL,RSW,107515.0
ATL,SAN,79188.0
ATL,SDF,59764.0
ATL,SEA,99546.0
ATL,SFO,100353.0
ATL,SJC,31458.0
ATL,SLC,106597.0
ATL,SMF,31790.0
ATL,SNA,39066.0
ATL,STL,92830.0
ATL,TPA,197904.0
ATL,TUL,25882.0
ATL,TUS,21372.0
ATL,VPS,45391.0
ATL,FSD,5754.0
ATL,BQK,8013.0
ATL,CSG,10019.0
ATL,HSV,45689.0
ATL,TLH,36478.0
ATL,VLD,8631.0
ATL,GRK,1.0
ATL,MSO,336.0
ATL,PBI,120904.0
ATL,ABE,13508.0
ATL,FSM,4762.0
ATL,JAN,43276.0
ATL,LFT,14070.0
ATL,MLU,9885.0
ATL,MOB,23537.0
ATL,ABY,7785.0
ATL,AVL,28080.0
ATL,BMI,12167.0
ATL,CHA,40003.0
ATL,DAB,44938.0
ATL,FAY,18715.0
ATL,GSO,57106.0
ATL,GSP,76745.0
ATL,LEX,35101.0
ATL,ORF,72707.0
ATL,TYS,42860.0
ATL,ABQ,25538.0
ATL,ACK,1.0
ATL,BTV,7321.0
ATL,CAK,17167.0
ATL,ELM,166.0
ATL,ISP,4368.0
ATL,MSN,22089.0
ATL,PWM,17042.0
ATL,RIC,103163.0
ATL,ROC,23494.0
ATL,CID,11373.0
ATL,MLI,12086.0
ATL,BZN,4028.0
ATL,SBN,11842.0
ATL,FNT,16411.0
ATL,HDN,2712.0
ATL,ACY,5371.0
ATL,AEX,10073.0
ATL,AGS,37328.0
ATL,ASE,928.0
ATL,ATW,9473.0
ATL,CHO,16697.0
ATL,CRW,15082.0
ATL,DAY,28740.0
ATL,DHN,11020.0
ATL,EAU,1.0
ATL,EVV,10490.0
ATL,EWN,5300.0
ATL,FWA,11919.0
ATL,GLH,17.0
ATL,GNV,27474.0
ATL,GRB,6755.0
ATL,GTR,9357.0
ATL,IDA,2.0
ATL,LAN,1.0
ATL,LNK,3203.0
ATL,LWB,1.0
ATL,MGM,18053.0
ATL,MLB,31441.0
ATL,MSL,66.0
ATL,OAJ,11127.0
ATL,PGV,2.0
ATL,PIA,7724.0
ATL,PIB,1.0
ATL,RST,5840.0
ATL,SGF,16243.0
ATL,SRQ,63405.0
ATL,TRI,21454.0
ATL,TTN,10390.0
ATL,XNA,23380.0
ATL,ERI,1.0
ATL,FLO,1.0
ATL,SUN,1.0
ATL,TOL,1.0
ATL,LYH,1.0
AVP,BDL,13.0
AVP,BOS,17.0
AVP,BUF,10.0
AVP,BWI,13.0
AVP,CLE,2.0
AVP,CLT,16344.0
AVP,CVG,2.0
AVP,DCA,10.0
AVP,DTW,7390.0
AVP,EWR,87.0
AVP,FLL,1.0
AVP,HPN,8.0
AVP,IAD,5019.0
AVP,IND,2.0
AVP,JFK,15.0
AVP,LGA,51.0
AVP,MDT,51.0
AVP,ORD,12061.0
AVP,PHL,8383.0
AVP,PIT,28.0
AVP,PVD,4.0
AVP,ROA,1.0
AVP,SYR,30.0
AVP,SAT,3.0
AVP,MHT,1.0
AVP,MKE,3.0
AVP,MSP,2.0
AVP,SDF,1.0
AVP,SFO,1.0
AVP,SLC,1.0
AVP,STL,1.0
AVP,HSV,5.0
AVP,PBI,1.0
AVP,ABE,69.0
AVP,CHA,1.0
AVP,GSO,1.0
AVP,ORF,1.0
AVP,BGM,6.0
AVP,BTV,2.0
AVP,ELM,8.0
AVP,ISP,1.0
AVP,ITH,2.0
AVP,PWM,3.0
AVP,RIC,1.0
AVP,ROC,3.0
AVP,SWF,2.0
AVP,MLI,2.0
AVP,AGS,1.0
AVP,CHO,1.0
AVP,CRW,1.0
AVP,GRB,1.0
AVP,LNK,1.0
AVP,MGM,1.0
AVP,ERI,1.0
AVP,IPT,2.0
AVP,SGU,1.0
AZO,BOS,2.0
AZO,BUF,3.0
AZO,CAE,1.0
AZO,CLE,6.0
AZO,CLT,2.0
AZO,CVG,3.0
AZO,DTW,12576.0
AZO,IAD,1.0
AZO,IND,6.0
AZO,MIA,2.0
AZO,ORD,11119.0
AZO,PIT,3.0
AZO,TVC,7.0
AZO,DFW,2.0
AZO,LIT,1.0
AZO,CHS,1.0
AZO,DEN,1.0
AZO,FAR,1.0
AZO,GRR,120.0
AZO,LAS,1.0
AZO,MDW,5.0
AZO,MEM,2.0
AZO,MKE,3.0
AZO,MSP,3812.0
AZO,RDU,1.0
AZO,SFO,2.0
AZO,SJC,1.0
AZO,STL,5.0
AZO,ABE,1.0
AZO,ABQ,1.0
AZO,SBN,23.0
AZO,FNT,5.0
AZO,MBS,1.0
AZO,ATW,1.0
AZO,CHO,1.0
AZO,FWA,2.0
AZO,LAN,14.0
AZO,RST,2.0
AZO,CMX,1.0
BDL,BNA,88.0
BDL,BOS,1348.0
BDL,BUF,44.0
BDL,BWI,41718.0
BDL,CAE,2.0
BDL,CLE,2444.0
BDL,CLT,53374.0
BDL,CVG,2835.0
BDL,DCA,26974.0
BDL,DTW,28914.0
BDL,EWR,427.0
BDL,FLL,35538.0
BDL,HPN,141.0
BDL,IAD,23954.0
BDL,ILM,1.0
BDL,IND,42.0
BDL,JFK,326.0
BDL,LAX,6541.0
BDL,LGA,756.0
BDL,MDT,25.0
BDL,MIA,7274.0
BDL,MYR,7684.0
BDL,OMA,15.0
BDL,ORD,53863.0
BDL,PHL,22386.0
BDL,PIT,72.0
BDL,PVD,360.0
BDL,ROA,2.0
BDL,SAV,1.0
BDL,SYR,39.0
BDL,AUS,172.0
BDL,DFW,13487.0
BDL,HOU,117.0
BDL,IAH,4406.0
BDL,LIT,3.0
BDL,MAF,1.0
BDL,OKC,13.0
BDL,SAT,69.0
BDL,BHM,30.0
BDL,BOI,7.0
BDL,BUR,7.0
BDL,CHS,38.0
BDL,CMH,34.0
BDL,COS,1.0
BDL,DAL,193.0
BDL,DEN,22714.0
BDL,DSM,1.0
BDL,ECP,1.0
BDL,ELP,5.0
BDL,GEG,1.0
BDL,ICT,5.0
BDL,JAX,152.0
BDL,LAS,47.0
BDL,MCI,105.0
BDL,MCO,70642.0
BDL,MDW,20340.0
BDL,MEM,15.0
BDL,MFE,1.0
BDL,MHT,104.0
BDL,MKE,11.0
BDL,MSP,23646.0
BDL,MSY,105.0
BDL,OAK,73.0
BDL,PDX,101.0
BDL,PHX,137.0
BDL,RDU,6217.0
BDL,RNO,3.0
BDL,RSW,16670.0
BDL,SAN,364.0
BDL,SDF,48.0
BDL,SEA,75.0
BDL,SFO,7.0
BDL,SJC,58.0
BDL,SLC,17.0
BDL,SMF,64.0
BDL,SNA,1.0
BDL,STL,9437.0
BDL,TPA,32879.0
BDL,TUL,1.0
BDL,TUS,11.0
BDL,MVY,1.0
BDL,PBI,11261.0
BDL,ABE,12.0
BDL,JAN,1.0
BDL,AVL,3.0
BDL,GSO,2.0
BDL,GSP,2.0
BDL,LEX,1.0
BDL,ORF,26.0
BDL,TYS,1.0
BDL,ABQ,35.0
BDL,ACK,1.0
BDL,ART,1.0
BDL,BGM,1.0
BDL,BGR,17.0
BDL,BTV,79.0
BDL,CAK,1.0
BDL,ELM,4.0
BDL,HVN,47.0
BDL,ISP,9.0
BDL,ITH,3.0
BDL,MSN,1.0
BDL,PWM,120.0
BDL,RIC,7.0
BDL,ROC,25.0
BDL,SWF,7.0
BDL,CID,1.0
BDL,SBN,1.0
BDL,CHO,1.0
BDL,CRW,1.0
BDL,DAY,1.0
BDL,LAN,1.0
BDL,RST,1.0
BDL,ORH,6.0
BNA,BOS,57242.0
BNA,BTR,5.0
BNA,BUF,931.0
BNA,BWI,45640.0
BNA,CAE,8.0
BNA,CLE,21408.0
BNA,CLT,66293.0
BNA,CVG,167.0
BNA,DCA,45787.0
BNA,DTW,54360.0
BNA,EWR,42786.0
BNA,EYW,2.0
BNA,FLL,44031.0
BNA,HPN,2.0
BNA,IAD,13179.0
BNA,ILM,5.0
BNA,IND,188.0
BNA,JFK,11547.0
BNA,LAX,63493.0
BNA,LGA,64094.0
BNA,MDT,1504.0
BNA,MIA,17326.0
BNA,MYR,5.0
BNA,OMA,1030.0
BNA,ORD,56837.0
BNA,PGD,3701.0
BNA,PHF,1.0
BNA,PHL,54087.0
BNA,PIE,2944.0
BNA,PIT,17049.0
BNA,PVD,3656.0
BNA,ROA,3.0
BNA,SAV,601.0
BNA,SFB,1797.0
BNA,SYR,2737.0
BNA,TVC,1.0
BNA,AMA,33.0
BNA,AUS,24007.0
BNA,DFW,64538.0
BNA,HOU,30522.0
BNA,IAH,22478.0
BNA,LBB,78.0
BNA,LIT,177.0
BNA,MAF,56.0
BNA,OKC,1509.0
BNA,SAT,16385.0
BNA,BHM,216.0
BNA,BOI,45.0
BNA,BUR,1634.0
BNA,CHS,11264.0
BNA,CMH,15936.0
BNA,COS,2.0
BNA,CRP,17.0
BNA,DAL,40485.0
BNA,DEN,77114.0
BNA,DSM,121.0
BNA,ECP,17848.0
BNA,ELP,233.0
BNA,GEG,20.0
BNA,GPT,3.0
BNA,GRR,1719.0
BNA,HRL,111.0
BNA,ICT,138.0
BNA,JAX,21547.0
BNA,LAS,38069.0
BNA,LGB,4.0
BNA,MCI,26135.0
BNA,MCO,57078.0
BNA,MDW,48889.0
BNA,MEM,1153.0
BNA,MHT,247.0
BNA,MKE,16303.0
BNA,MSP,41086.0
BNA,MSY,30596.0
BNA,OAK,10552.0
BNA,ONT,190.0
BNA,PDX,3356.0
BNA,PHX,31997.0
BNA,PNS,15714.0
BNA,PSP,1.0
BNA,RDU,32136.0
BNA,RNO,168.0
BNA,RSW,4057.0
BNA,SAN,17341.0
BNA,SDF,543.0
BNA,SEA,25760.0
BNA,SFO,20549.0
BNA,SJC,4925.0
BNA,SLC,13430.0
BNA,SMF,1416.0
BNA,SNA,351.0
BNA,STL,23438.0
BNA,TPA,36918.0
BNA,TUL,169.0
BNA,TUS,118.0
BNA,VPS,4.0
BNA,FSD,1.0
BNA,HSV,216.0
BNA,TLH,3.0
BNA,EUG,1.0
BNA,PBI,78.0
BNA,ABE,1768.0
BNA,FSM,1.0
BNA,JAN,20.0
BNA,LFT,3.0
BNA,MOB,7.0
BNA,AVL,43.0
BNA,BMI,1.0
BNA,CHA,216.0
BNA,DAB,1.0
BNA,FAY,2.0
BNA,GSO,14.0
BNA,GSP,179.0
BNA,LEX,116.0
BNA,ORF,1474.0
BNA,TYS,627.0
BNA,ABQ,263.0
BNA,BTV,1.0
BNA,ELM,1.0
BNA,ISP,41.0
BNA,MSN,14.0
BNA,PWM,51.0
BNA,RIC,2905.0
BNA,ROC,94.0
BNA,CID,1393.0
BNA,MLI,2.0
BNA,BZN,1.0
BNA,PSC,1.0
BNA,SBN,2.0
BNA,HDN,1.0
BNA,AEX,2.0
BNA,AGS,2.0
BNA,ATW,2.0
BNA,CHO,4.0
BNA,CRW,12.0
BNA,DAY,17.0
BNA,EVV,47.0
BNA,FWA,5.0
BNA,GLH,7.0
BNA,GNV,1.0
BNA,GTR,5.0
BNA,LNK,1.0
BNA,MGM,12.0
BNA,MLB,1.0
BNA,MSL,6.0
BNA,OAJ,2.0
BNA,PIA,2.0
BNA,SGF,20.0
BNA,SRQ,2018.0
BNA,TRI,25.0
BNA,TTN,2684.0
BNA,XNA,420.0
BNA,BRO,1.0
BNA,CMI,1.0
BNA,SPI,1.0
BNA,DBQ,2.0
BNA,FLO,1.0
BNA,HTS,4.0
BNA,JLN,1.0
BNA,PAH,7.0
BNA,TUP,7.0
BNA,SUN,1.0
BNA,TOL,1.0
BNA,SBY,1.0
BNA,MWA,1.0
BOS,BTR,1.0
BOS,BUF,28295.0
BOS,BWI,112619.0
BOS,CAE,1.0
BOS,CLE,30570.0
BOS,CLT,99280.0
BOS,CVG,18264.0
BOS,DCA,154197.0
BOS,DTW,76950.0
BOS,EWR,87270.0
BOS,EYW,3.0
BOS,FLL,82656.0
BOS,HPN,127.0
BOS,IAD,34015.0
BOS,ILM,4.0
BOS,IND,15541.0
BOS,JFK,44964.0
BOS,LAX,139709.0
BOS,LGA,132339.0
BOS,MDT,774.0
BOS,MIA,42522.0
BOS,MYR,7546.0
BOS,OMA,88.0
BOS,ORD,181572.0
BOS,PHF,3.0
BOS,PHL,127798.0
BOS,PIT,40292.0
BOS,PVD,1409.0
BOS,ROA,1.0
BOS,SAV,12804.0
BOS,SYR,5720.0
BOS,TVC,2.0
BOS,AUS,28332.0
BOS,DFW,85897.0
BOS,HOU,17361.0
BOS,IAH,36042.0
BOS,LBB,4.0
BOS,LIT,5.0
BOS,OKC,24.0
BOS,SAT,495.0
BOS,SHV,1.0
BOS,ABI,1.0
BOS,BHM,25.0
BOS,BOI,1.0
BOS,BUR,7036.0
BOS,CHS,19189.0
BOS,CMH,18917.0
BOS,DAL,10715.0
BOS,DEN,100373.0
BOS,DSM,35.0
BOS,ECP,37.0
BOS,ELP,20.0
BOS,GEG,18.0
BOS,GRR,14.0
BOS,HRL,20.0
BOS,ICT,3.0
BOS,JAX,26907.0
BOS,LAS,56428.0
BOS,LGB,10433.0
BOS,MCI,11153.0
BOS,MCO,125282.0
BOS,MDW,36585.0
BOS,MEM,56.0
BOS,MHT,736.0
BOS,MKE,13766.0
BOS,MSP,79841.0
BOS,MSY,21876.0
BOS,OAK,1437.0
BOS,ONT,12.0
BOS,PDX,22652.0
BOS,PHX,51334.0
BOS,PNS,12.0
BOS,PSP,677.0
BOS,RDU,65298.0
BOS,RNO,27.0
BOS,ROW,1.0
BOS,RSW,60007.0
BOS,SAN,32993.0
BOS,SDF,107.0
BOS,SEA,64270.0
BOS,SFO,133263.0
BOS,SJC,7544.0
BOS,SLC,34759.0
BOS,SMF,2918.0
BOS,SNA,9.0
BOS,STL,25980.0
BOS,TPA,68657.0
BOS,TUL,84.0
BOS,TUS,7.0
BOS,MOT,1.0
BOS,HSV,2.0
BOS,TLH,1.0
BOS,HYA,128.0
BOS,MVY,2138.0
BOS,PBI,52481.0
BOS,ABE,12.0
BOS,JAN,1.0
BOS,MOB,1.0
BOS,AVL,5.0
BOS,BMI,1.0
BOS,CHA,4.0
BOS,FAY,1.0
BOS,GSO,3.0
BOS,GSP,18.0
BOS,ORF,2803.0
BOS,TYS,5.0
BOS,ABQ,64.0
BOS,ACK,3828.0
BOS,BGM,2.0
BOS,BGR,218.0
BOS,BTV,354.0
BOS,CAK,2.0
BOS,ELM,4.0
BOS,HVN,16.0
BOS,ISP,13.0
BOS,ITH,19.0
BOS,MSN,61.0
BOS,OGS,31.0
BOS,PWM,1382.0
BOS,RIC,29651.0
BOS,ROC,8335.0
BOS,SWF,6.0
BOS,MLI,1.0
BOS,BZN,2.0
BOS,SBN,20.0
BOS,MBS,2.0
BOS,HDN,623.0
BOS,ASE,2.0
BOS,CHO,5.0
BOS,CRW,2.0
BOS,DAY,5.0
BOS,EWN,1.0
BOS,FWA,1.0
BOS,GNV,1.0
BOS,LAN,1.0
BOS,LNK,1.0
BOS,MLB,1.0
BOS,PGV,1.0
BOS,PIA,1.0
BOS,RST,2.0
BOS,SGF,1.0
BOS,SRQ,6608.0
BOS,XNA,2.0
BOS,ERI,1.0
BOS,ORH,76.0
BOS,SBA,1.0
BOS,BHB,727.0
BOS,RKD,416.0
BOS,SPI,1.0
BOS,JLN,1.0
BOS,AUG,654.0
BOS,LEB,699.0
BOS,MSS,79.0
BOS,PQI,3.0
BOS,PSM,10.0
BOS,PVC,541.0
BOS,RUT,434.0
BOS,SLK,287.0
BOS,LYH,1.0
BTR,BUF,1.0
BTR,BWI,1.0
BTR,CLT,8917.0
BTR,DCA,30.0
BTR,IAD,1.0
BTR,LGA,1.0
BTR,MIA,3.0
BTR,ORD,2.0
BTR,PHL,1.0
BTR,SAV,1.0
BTR,AUS,40.0
BTR,DFW,20531.0
BTR,HOU,10.0
BTR,IAH,18157.0
BTR,LBB,2.0
BTR,LIT,8.0
BTR,OKC,2.0
BTR,SAT,4.0
BTR,SHV,33.0
BTR,BHM,8.0
BTR,COS,1.0
BTR,DAL,2.0
BTR,DEN,2.0
BTR,DSM,1.0
BTR,ECP,2.0
BTR,GPT,22.0
BTR,ICT,2.0
BTR,JAX,4.0
BTR,LGB,1.0
BTR,MCO,2.0
BTR,MEM,16.0
BTR,MKE,1.0
BTR,MSY,604.0
BTR,PNS,13.0
BTR,SAF,1.0
BTR,STL,2.0
BTR,TPA,1.0
BTR,TUL,3.0
BTR,VPS,5.0
BTR,HSV,2.0
BTR,TLH,2.0
BTR,CLL,1.0
BTR,ABE,1.0
BTR,JAN,44.0
BTR,LCH,14.0
BTR,LFT,89.0
BTR,MLU,20.0
BTR,MOB,15.0
BTR,CHA,1.0
BTR,GSO,1.0
BTR,GSP,1.0
BTR,TYS,1.0
BTR,SBN,1.0
BTR,AEX,28.0
BTR,CRW,1.0
BTR,GTR,3.0
BTR,XNA,4.0
BTR,LSE,1.0
BTR,BPT,2.0
BUF,BWI,37050.0
BUF,CLE,137.0
BUF,CLT,23812.0
BUF,CVG,17.0
BUF,DCA,9596.0
BUF,DTW,20760.0
BUF,EWR,14202.0
BUF,FLL,16541.0
BUF,HPN,10.0
BUF,IAD,9597.0
BUF,ILM,1.0
BUF,IND,10.0
BUF,JFK,46230.0
BUF,LAX,7602.0
BUF,LGA,15246.0
BUF,MDT,15.0
BUF,MIA,942.0
BUF,MYR,1.0
BUF,OMA,2.0
BUF,ORD,37801.0
BUF,PHL,13809.0
BUF,PIT,138.0
BUF,PVD,33.0
BUF,ROA,1.0
BUF,SYR,282.0
BUF,TVC,1.0
BUF,AUS,111.0
BUF,DFW,6402.0
BUF,HOU,95.0
BUF,IAH,1.0
BUF,LBB,4.0
BUF,OKC,10.0
BUF,SAT,99.0
BUF,BHM,1.0
BUF,BUR,26.0
BUF,CHS,36.0
BUF,CMH,53.0
BUF,DAL,281.0
BUF,DEN,8418.0
BUF,ECP,3.0
BUF,FAR,1.0
BUF,GEG,1.0
BUF,GRR,10.0
BUF,JAX,47.0
BUF,LAS,13532.0
BUF,MCI,69.0
BUF,MCO,47985.0
BUF,MDW,22598.0
BUF,MEM,9.0
BUF,MHT,7.0
BUF,MKE,8.0
BUF,MSP,5827.0
BUF,MSY,49.0
BUF,OAK,71.0
BUF,ONT,23.0
BUF,PDX,26.0
BUF,PHX,9616.0
BUF,PNS,1.0
BUF,RDU,1565.0
BUF,RNO,22.0
BUF,RSW,4552.0
BUF,SAN,36.0
BUF,SDF,7.0
BUF,SEA,9.0
BUF,SFO,98.0
BUF,SJC,89.0
BUF,SLC,98.0
BUF,SMF,12.0
BUF,SNA,27.0
BUF,STL,117.0
BUF,TPA,19982.0
BUF,TUL,4.0
BUF,TUS,1.0
BUF,MOT,1.0
BUF,PBI,8.0
BUF,ABE,5.0
BUF,AVL,1.0
BUF,CHA,1.0
BUF,GSO,2.0
BUF,GSP,1.0
BUF,ORF,22.0
BUF,TYS,1.0
BUF,ABQ,17.0
BUF,ART,1.0
BUF,BGM,7.0
BUF,BGR,2.0
BUF,BTV,37.0
BUF,CAK,4.0
BUF,ELM,19.0
BUF,ISP,10.0
BUF,ITH,15.0
BUF,OGS,1.0
BUF,PBG,2.0
BUF,PWM,35.0
BUF,RIC,12.0
BUF,ROC,515.0
BUF,SWF,4.0
BUF,CID,4.0
BUF,MLI,1.0
BUF,SBN,1.0
BUF,FNT,2.0
BUF,MBS,2.0
BUF,ATW,1.0
BUF,CRW,3.0
BUF,DAY,6.0
BUF,FWA,2.0
BUF,GRB,1.0
BUF,MLB,1.0
BUF,RST,1.0
BUF,TRI,2.0
BUF,DLH,2.0
BUF,ERI,55.0
BUF,IPT,1.0
BUF,ORH,1.0
BUF,PQI,3.0
BUF,TOL,2.0
BUF,BFD,1.0
BWI,CAE,3.0
BWI,CLE,21698.0
BWI,CLT,97003.0
BWI,CVG,23549.0
BWI,DCA,6932.0
BWI,DTW,64426.0
BWI,EWR,1924.0
BWI,FLL,103850.0
BWI,HPN,13.0
BWI,IAD,3186.0
BWI,ILM,2.0
BWI,IND,25263.0
BWI,JFK,7091.0
BWI,LAX,64294.0
BWI,LGA,750.0
BWI,MDT,167.0
BWI,MIA,12356.0
BWI,MYR,9589.0
BWI,OMA,179.0
BWI,ORD,71924.0
BWI,PHF,23.0
BWI,PHL,8488.0
BWI,PIT,17953.0
BWI,PVD,46756.0
BWI,ROA,23.0
BWI,SAV,3114.0
BWI,SYR,23.0
BWI,TVC,1.0
BWI,AMA,5.0
BWI,AUS,32294.0
BWI,DFW,44367.0
BWI,HOU,38363.0
BWI,IAH,28080.0
BWI,LBB,35.0
BWI,LIT,148.0
BWI,MAF,29.0
BWI,OKC,7641.0
BWI,SAT,20338.0
BWI,BHM,8491.0
BWI,BOI,124.0
BWI,BUR,187.0
BWI,CHS,26591.0
BWI,CMH,23057.0
BWI,COS,1.0
BWI,CRP,62.0
BWI,DAL,38503.0
BWI,DEN,85245.0
BWI,DSM,118.0
BWI,ECP,2907.0
BWI,ELP,329.0
BWI,GEG,34.0
BWI,GRR,7959.0
BWI,HRL,48.0
BWI,ICT,31.0
BWI,JAX,37955.0
BWI,LAS,57443.0
BWI,LGB,21.0
BWI,MCI,21698.0
BWI,MCO,115057.0
BWI,MDW,54639.0
BWI,MEM,9991.0
BWI,MHT,42819.0
BWI,MKE,21123.0
BWI,MSP,52510.0
BWI,MSY,39717.0
BWI,OAK,11401.0
BWI,ONT,212.0
BWI,PDX,3648.0
BWI,PHX,40160.0
BWI,PNS,112.0
BWI,RDU,54138.0
BWI,RNO,175.0
BWI,RSW,40543.0
BWI,SAN,34147.0
BWI,SDF,21632.0
BWI,SEA,25234.0
BWI,SFO,22819.0
BWI,SJC,8691.0
BWI,SLC,26616.0
BWI,SMF,9421.0
BWI,SNA,56.0
BWI,STL,29919.0
BWI,TPA,70452.0
BWI,TUL,46.0
BWI,TUS,70.0
BWI,VPS,1529.0
BWI,BIS,1.0
BWI,HSV,1.0
BWI,PBI,28054.0
BWI,ABE,18.0
BWI,AVL,2730.0
BWI,DAB,1.0
BWI,FAY,4.0
BWI,GSO,6.0
BWI,GSP,1449.0
BWI,LEX,2.0
BWI,ORF,32652.0
BWI,TYS,697.0
BWI,ABQ,13245.0
BWI,BTV,6.0
BWI,ELM,3.0
BWI,HVN,1.0
BWI,ISP,30865.0
BWI,ITH,1.0
BWI,MSN,2.0
BWI,PWM,28992.0
BWI,RIC,249.0
BWI,ROC,24573.0
BWI,SWF,2.0
BWI,CID,2.0
BWI,SBN,1.0
BWI,AGS,3.0
BWI,CHO,34.0
BWI,CRW,4.0
BWI,DAY,3.0
BWI,OAJ,1.0
BWI,SGF,2.0
BWI,SRQ,2662.0
BWI,MGW,41.0
BWI,ERI,3.0
BWI,IPT,4.0
BWI,TOL,1.0
BWI,AOO,16.0
BWI,CKB,1.0
BWI,DUJ,38.0
BWI,HGR,65.0
BWI,JST,27.0
BWI,LNS,36.0
